strip,number,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
1,1-5,ketone,6257,1257,2286,2193,1997,6394,91.168,87.459,79.643,19.681,17.74,14.038,40,0.1111,0.1319,91
2,2-5,white,5650,3863,7459,6807,6092,20176,94.273,86.032,76.995,21.399,17.025,12.9,33.33,0.0926,0.1915,94
2,2-5,blood,4292,3006,4109,4126,2968,11158,93.905,94.294,67.829,21.192,21.411,9.397,62.22,0.1728,0.2872,94
2,2-5,pH,4795,3247,6496,5629,4821,16722,99.06,85.839,73.517,24.221,16.93,11.492,27.69,0.0769,0.2626,99
2,2-5,protein,3356,2219,3698,3139,2097,8880,106.193,90.14,60.218,28.819,19.131,6.978,39.13,0.1087,0.434,106
2,2-5,glucose,5406,2993,5106,4890,4190,13942,93.389,89.438,76.635,20.902,18.761,12.75,45.88,0.1275,0.1828,93
2,2-5,ketone,4451,1728,4307,3369,2993,10528,104.32,81.601,72.494,27.565,14.917,11.097,16.88,0.0469,0.3077,104
3,3-5,white,5838,3982,7632,7037,6349,20862,93.287,86.015,77.605,20.845,17.016,13.157,33.75,0.0938,0.172,93
3,3-5,blood,4913,2536,3077,3427,2560,9046,86.738,96.605,72.164,17.377,22.747,10.971,85,0.2361,0.25,96
3,3-5,pH,5202,3228,5805,5374,4603,15574,95.048,87.991,75.367,21.842,18.011,12.229,36,0.1,0.2105,95
3,3-5,protein,3638,2096,3109,2850,1902,7806,101.562,93.101,62.133,25.779,20.741,7.546,47.69,0.1325,0.3861,101
3,3-5,glucose,4832,2719,4794,4401,3648,12597,97.045,89.089,73.846,23.007,18.578,11.621,40,0.1111,0.2474,97
3,3-5,ketone,4348,1228,3872,2788,2616,9128,108.168,77.886,73.081,30.178,13.276,11.323,6.86,0.019,0.3241,108
4,4-5,white,5735,3567,6881,6302,5664,18793,93.367,85.511,76.854,20.89,16.769,12.841,31.76,0.0882,0.1828,93
4,4-5,blood,6168,1396,1175,1753,1351,4303,69.632,103.884,80.062,10.034,27.278,14.223,139.41,0.3873,0.3301,103
4,4-5,pH,5898,1945,2990,3079,2656,8570,88.967,91.616,79.029,18.515,19.923,13.769,75,0.2083,0.1319,91
4,4-5,protein,5360,3461,6067,5724,4923,16468,93.945,88.634,76.231,21.214,18.342,12.582,42.35,0.1176,0.1828,93
4,4-5,glucose,3328,1531,2807,2289,1598,6617,108.174,88.211,61.582,30.182,18.124,7.38,34.47,0.0957,0.4352,108
4,4-5,ketone,5283,2380,5502,4584,4192,13890,101.009,84.156,76.959,25.429,16.112,12.885,19.2,0.0533,0.2475,101
5,5-5,white,5572,3462,6745,6112,5458,18301,93.983,85.163,76.05,21.235,16.598,12.508,31.76,0.0882,0.1828,93
5,5-5,blood,4130,3658,6508,5716,4441,16522,100.444,88.221,68.542,25.076,18.129,9.646,37.5,0.1042,0.32,100
5,5-5,pH,13376,808,1032,1406,1470,3839,68.549,93.392,97.643,9.648,20.903,23.363,188.28,0.523,0.299,97
5,5-5,protein,5406,2345,3489,3577,2962,9830,90.508,92.791,76.837,19.327,20.569,12.834,67.5,0.1875,0.1739,92
5,5-5,glucose,5355,3127,6155,5505,4868,16211,96.819,86.594,76.574,22.874,17.304,12.725,30,0.0833,0.2083,96
5,5-5,ketone,3990,681,2655,1777,1723,5947,113.843,76.196,73.88,34.293,12.568,11.635,4.5,0.0125,0.354,113
6,6-5,white,5334,2999,5827,5237,4611,15598,95.261,85.616,75.382,21.965,16.82,12.235,30,0.0833,0.2105,95
6,6-5,blood,3107,2809,4053,3554,2028,9682,106.746,93.604,53.413,29.196,21.022,5.171,45.28,0.1258,0.5,106
6,6-5,protein,5745,3359,6014,5706,5047,16508,92.899,88.141,77.961,20.628,18.088,13.309,44,0.1222,0.163,92
6,6-5,glucose,3246,857,2344,1660,1369,5252,113.808,80.598,66.469,34.267,14.463,8.933,17.87,0.0496,0.4159,113
1,1-6,white,5754,1495,2785,2594,2316,7638,92.979,86.603,77.321,20.673,17.309,13.037,36,0.1,0.163,92
1,1-6,blood,2936,1313,2198,1777,1063,5023,111.585,90.212,53.965,32.618,19.169,5.305,38.28,0.1063,0.5225,111
1,1-6,pH,3959,810,2062,1562,1347,4894,107.44,81.387,70.185,29.672,14.819,10.234,17.84,0.0495,0.3458,107
1,1-6,protein,5146,1497,2819,2549,2201,7480,96.102,86.898,75.034,22.453,17.457,12.094,31.43,0.0873,0.2188,96
1,1-6,glucose,10241,701,1046,1232,1234,3483,76.581,90.198,90.345,12.727,19.162,19.24,180,0.5,0.1556,90
1,1-6,ketone,5944,1438,2651,2499,2248,7289,92.743,87.426,78.645,20.542,17.723,13.602,38.57,0.1071,0.1522,92
2,2-6,white,5763,3722,7166,6576,5916,19546,93.489,85.791,77.181,20.957,16.906,12.978,30,0.0833,0.172,93
2,2-6,blood,3894,2628,2890,3147,1913,8003,92.084,100.273,60.954,20.179,24.969,7.194,72,0.2,0.4,100
2,2-6,pH,3940,2599,5605,4501,3668,13578,105.264,84.53,68.886,28.193,16.292,9.767,25.95,0.0721,0.3524,105
2,2-6,protein,3128,2194,3524,2964,1830,8276,108.581,91.327,56.386,30.467,19.767,5.921,40.38,0.1122,0.4815,108
2,2-6,glucose,5068,2248,3444,3422,2780,9516,92.289,91.699,74.496,20.291,19.969,11.879,56.67,0.1574,0.1957,92
2,2-6,ketone,5474,3286,6634,5895,5279,17469,96.838,86.051,77.059,22.885,17.034,12.927,28.42,0.0789,0.1979,96
3,3-6,white,5625,3293,6428,5832,5225,17484,93.751,85.058,76.205,21.105,16.547,12.572,31.76,0.0882,0.1828,93
3,3-6,blood,5435,3414,5548,5447,4621,15459,91.516,89.85,76.225,19.869,18.977,12.58,52,0.1444,0.1648,91
3,3-6,pH,3730,1610,2436,2231,1530,6175,100.596,92.13,63.182,25.17,20.204,7.869,47.03,0.1306,0.37,100
3,3-6,protein,4555,2899,4853,4495,3579,12729,97.22,90.048,71.698,23.112,19.082,10.795,43.85,0.1218,0.268,97
3,3-6,glucose,3174,1280,2426,1925,1325,5565,111.164,88.208,60.714,32.311,18.122,7.123,32.94,0.0915,0.4595,111
3,3-6,ketone,4798,1702,4526,3510,3235,11073,104.229,80.832,74.499,27.505,14.568,11.88,12,0.0333,0.2885,104
4,4-6,white,5593,3430,6668,6053,5409,18112,93.879,85.221,76.154,21.177,16.626,12.551,31.76,0.0882,0.1828,93
4,4-6,blood,5845,2604,3901,4063,3473,11306,87.985,91.639,78.331,18.008,19.936,13.467,78.46,0.2179,0.1429,91
4,4-6,pH,5803,3402,6124,5808,5160,16865,92.595,87.817,78.02,20.46,17.922,13.334,38.57,0.1071,0.1522,92
4,4-6,protein,4632,2315,3361,3349,2567,9145,93.718,93.384,71.578,21.086,20.899,10.75,60,0.1667,0.2366,93
4,4-6,glucose,5045,3291,6040,5500,4685,15915,96.777,88.124,75.066,22.849,18.079,12.107,37.14,0.1032,0.2188,96
4,4-6,ketone,3365,531,2768,1699,1710,5974,118.152,72.522,72.991,37.631,11.107,11.288,0,0,0.3898,118
5,5-6,white,5706,3780,7310,6680,5998,19899,93.676,85.602,76.863,21.062,16.813,12.845,31.76,0.0882,0.1828,93
5,5-6,blood,2868,2803,4593,3710,2133,10432,112.271,90.687,52.139,33.122,19.423,4.868,38,0.1056,0.5357,112
5,5-6,pH,7342,1833,3069,3173,2976,9029,86.676,89.613,84.049,17.345,18.852,16.061,96,0.2667,0.0562,89
5,5-6,protein,5685,3449,6107,5811,5110,16764,92.895,88.392,77.729,20.626,18.217,13.21,44,0.1222,0.163,92
5,5-6,glucose,3131,1172,2679,1985,1491,6063,112.674,83.486,62.709,33.42,15.793,7.723,25.2,0.07,0.4464,112
5,5-6,ketone,5354,2507,5477,4683,4243,14013,99.667,85.218,77.212,24.593,16.625,12.991,21.82,0.0606,0.2222,99
6,6-6,white,5627,3782,7287,6651,5942,19713,94.262,86.035,76.863,21.393,17.026,12.845,33.33,0.0926,0.1915,94
6,6-6,blood,3530,3066,4758,4232,2826,11790,102.908,91.532,61.122,26.642,19.878,7.243,43.9,0.122,0.402,102
6,6-6,protein,6207,1579,1898,2268,1891,5950,81.343,97.2,81.043,14.799,23.1,14.663,120,0.3333,0.1649,97
